root_stream_begin,day=1,own_count=236,opponent_count=65,begin=118,end=236
root_stream_action,day=1,index=208,robust=5/19/19,slice_best=5/20/22,improves=0,terminal=35@23,plan=1.2.2.3.3.5.5.2.-2,states=33692436,transitions=76722541597
root_stream_action,day=1,index=209,robust=5/19/20,slice_best=5/20/22,improves=0,terminal=35@24,plan=3.0.1.2.2.3.3.5.-1,states=33706314,transitions=76805847354
root_stream_action,day=1,index=210,robust=5/19/20,slice_best=5/20/22,improves=0,terminal=35@24,plan=3.2.1.1.3.3.5.-2,states=33710521,transitions=76828822804
root_stream_action,day=1,index=211,robust=5/19/19,slice_best=5/20/22,improves=0,terminal=35@23,plan=3.2.2.1.0.3.3.5.-2,states=33713552,transitions=76844299083
root_stream_action,day=1,index=212,robust=5/20/20,slice_best=5/20/22,improves=0,terminal=35@23,plan=3.2.1.1.2.4.3.5,states=33719195,transitions=76879626797
root_stream_action,day=1,index=213,robust=5/19/20,slice_best=5/20/22,improves=0,terminal=35@22,plan=3.2.2.1.0.2.4.3.5,states=33723149,transitions=76898385132
root_stream_action,day=1,index=214,robust=5/18/20,slice_best=5/20/22,improves=0,terminal=36@26,plan=3.2.1.2.3.-6,states=33750668,transitions=77071720905
root_stream_action,day=1,index=215,robust=5/18/20,slice_best=5/20/22,improves=0,terminal=36@27,plan=3.2.2.2.-10,states=33764284,transitions=77170817428
root_stream_action,day=1,index=216,robust=5/18/20,slice_best=5/20/22,improves=0,terminal=36@24,plan=3.2.2.1.4.2.-7,states=33768925,transitions=77200772551
root_stream_action,day=1,index=217,robust=5/18/18,slice_best=5/20/22,improves=0,terminal=36@21,plan=3.2.2.1.4.1.4.2.-4,states=33777540,transitions=77245535409
root_stream_action,day=1,index=218,robust=5/16/17,slice_best=5/20/22,improves=0,terminal=36@18,plan=3.2.2.1.4.1.4.1.4.2.-1,states=33798198,transitions=77337742211
root_stream_action,day=1,index=219,robust=5/19/21,slice_best=5/20/22,improves=0,terminal=36@25,plan=1.4.3.2.2.2.-6,states=33803304,transitions=77376654889
root_stream_action,day=1,index=220,robust=5/19/20,slice_best=5/20/22,improves=0,terminal=36@22,plan=1.4.3.2.2.1.4.2.-3,states=33808717,transitions=77401568760
root_stream_action,day=1,index=221,robust=5/18/18,slice_best=5/20/22,improves=0,terminal=36@19,plan=1.4.3.2.2.1.4.1.4.2,states=33819117,transitions=77442877303
root_stream_action,day=1,index=222,robust=5/18/20,slice_best=5/20/22,improves=0,terminal=36@27,plan=1.2.2.3.3.-7,states=33856260,transitions=77604880604
root_stream_action,day=1,index=223,robust=5/18/20,slice_best=5/20/22,improves=0,terminal=36@25,plan=1.2.2.3.4.2.-6,states=33859116,transitions=77624439068
root_stream_action,day=1,index=224,robust=5/18/21,slice_best=5/20/22,improves=0,terminal=36@26,plan=1.2.2.2.4.3.-5,states=33859580,transitions=77628266337
root_stream_action,day=1,index=225,robust=5/18/21,slice_best=5/20/22,improves=0,terminal=36@24,plan=1.2.2.2.4.4.2.-4,states=33876998,transitions=77723617885
root_stream_action,day=1,index=226,robust=5/19/20,slice_best=5/20/22,improves=0,terminal=36@22,plan=1.2.2.3.4.5.2.2.-3,states=33880331,transitions=77744357936
root_stream_action,day=1,index=227,robust=5/18/18,slice_best=5/20/22,improves=0,terminal=36@19,plan=1.2.2.3.4.1.4.5.2.2,states=33895094,transitions=77805561331
root_stream_action,day=1,index=228,robust=5/19/21,slice_best=5/20/22,improves=0,terminal=36@25,plan=3.0.1.2.2.3.3.-3,states=33896548,transitions=77815688631
root_stream_action,day=1,index=229,robust=5/19/21,slice_best=5/20/22,improves=0,terminal=36@25,plan=3.2.1.1.3.3.-4,states=33902710,transitions=77856160079
root_stream_action,day=1,index=230,robust=5/19/21,slice_best=5/20/22,improves=0,terminal=36@24,plan=3.2.2.1.0.3.3.-4,states=33902894,transitions=77858444406
root_stream_action,day=1,index=231,robust=5/19/20,slice_best=5/20/22,improves=0,terminal=36@22,plan=3.2.2.1.0.3.4.2.-3,states=33903237,transitions=77860963903
root_stream_action,day=1,index=232,robust=5/18/18,slice_best=5/20/22,improves=0,terminal=36@19,plan=3.2.2.1.0.3.4.1.4.2,states=33904219,transitions=77867540726
root_stream_action,day=1,index=233,robust=5/20/22,slice_best=5/20/22,improves=0,terminal=36@24,plan=3.2.1.1.2.4.3.-2,states=33904284,transitions=77868395495
root_stream_action,day=1,index=234,robust=5/20/22,slice_best=5/20/22,improves=0,terminal=36@23,plan=3.2.2.1.0.2.4.3.-2,states=33904349,transitions=77869180988
root_stream_action,day=1,index=235,robust=5/20/20,slice_best=5/20/22,improves=0,terminal=36@21,plan=3.2.2.1.0.2.4.4.2.-1,states=33904777,transitions=77871666054
root_stream_end,day=1,begin=118,end=236,full=0,has_result=1,slice_best=5/20/22,states=33904777,transitions=77871666054
minimax_slice,seed=1721200,family=adversarial-threshold,fuel=high,begin=118,end=236,own_count=236,opponent_count=65,slice_best=5/20/22
root_stream_case,seed=1721200,begin=118,end=236,policy=maximum-dwell,slice_robust=5/20/22,oracle=5/20/22,head=5/19/22,oracle_valid=1,head_valid=1,oracle_hash=2605e523a8e2e2f3,head_hash=c6aebcf618cd571f
root_stream_case,seed=1721200,begin=118,end=236,policy=minimum-dwell,slice_robust=5/20/22,oracle=5/20/22,head=5/19/22,oracle_valid=1,head_valid=1,oracle_hash=2605e523a8e2e2f3,head_hash=c6aebcf618cd571f
root_stream_case,seed=1721200,begin=118,end=236,policy=status-toggle,slice_robust=5/20/22,oracle=5/20/22,head=5/19/22,oracle_valid=1,head_valid=1,oracle_hash=2605e523a8e2e2f3,head_hash=c6aebcf618cd571f
summary,cases=0,oracle_wins=0,ties=0,head_wins=0,invalid=0,tier1=0,tier2=0,tier3=0,max_gain=0,hash=14650fb0739d0383
