"split","match","path","sha256","fuel_limit","role_mask","terminal_patrol_min_fuel","terminal_patrol_max_fuel","constrained_patrols","states","accepted","length"
"holdout","m-0879","artifacts/btc/m-0879-incremental-bound-lowfuel-server.jsonl","41C478E9728388A3BCA61A1DB641C9426219BB0F3C4049EF19619EB77FE74652","100","128","2","86","7","10","10","849362"
"holdout","m-0880","artifacts/btc/m-0880-escort-buffer-default-server.jsonl","B0FA0A18CC782DCB025BC191EAF8F85B26B4DF6CA6A831ABE26DADAF33E37A80","200","8","4","200","3","10","10","884986"
"holdout","m-0882","artifacts/btc/m-0882-inline-dfs-highfuel-server.jsonl","42622CA86E1D59A94BB774136A315466324F5208E3B3E61F8D8ACACBB652E4BA","300","1","172","300","1","10","10","866048"
"holdout","m-0885","artifacts/btc/m-0885-dual-cap-highfuel-server.jsonl","1D3971E3B7631949925D3063D623F66E2A33669A5F76A3D4506DEC8A99E1D3FE","300","8","68","300","1","10","10","872218"
"holdout","m-0886","artifacts/btc/m-0886-adaptive-depth4-v12.jsonl","21B22D41470A052218A1BABB42A0CAE88BE6C1A0047D656E277816819694861F","300","1","230","300","0","10","10","877943"
"holdout","m-0891","artifacts/btc/m-0891-adaptive-depth4.jsonl","C6CC23E67C6D53B4F4CF3C539528A2827BC9BDA673D48E740A8B758A8168A5F7","300","4","166","300","1","10","10","886564"
"holdout","m-0892","artifacts/btc/m-0892-default-adaptive-v12.jsonl","D1A0CC8CD8468DFA1B7185686A75F820CB05FC3D73AB85ADACCF60B36620D366","200","1","6","200","5","10","10","883932"
"holdout","m-0895","artifacts/btc/m-0895-default-stack-sync.jsonl","D18F6A64C6EE7F35E4A01F6CD4290E78E14B1C5ACAA147792123FE1F46622C7E","200","32","141","200","6","10","10","867931"
"holdout","m-0896","artifacts/btc/m-0896-default-exact-bound.jsonl","F5CF276CEA6275A63B0A245834A2EA81CB23C8D9095DEB5B718563CF3EFF20F6","200","8","110","200","6","10","10","862385"
"holdout","m-0897","artifacts/btc/m-0897-low-exact-bound.jsonl","013A8431FE3815F293FA58EF7396143F91B6DBEDB8E20ED06378562AC0CF4805","100","2","0","63","7","10","10","817940"
"holdout","m-0901","artifacts/btc/m-0901-high-v13.jsonl","0D041EEA109B167B9951D5541D9D29B1220144AC2E8036D3B379ACC95825C865","300","16","200","300","0","10","10","866368"
"holdout","m-0906","artifacts/btc/m-0906-high-adaptive-rendezvous-guard.jsonl","CFEFF7208E94B68A9CDD252EB4C869B7FE96061835B2F0E359321182EADAD011","300","4","184","300","1","10","10","853926"
"holdout","m-0909","artifacts/btc/m-0909-high-staged-balanced.jsonl","F363C66CD640BC18203A8E7278A398A6AD096AF2C20E206E9C481301A89C3153","300","2","244","300","0","10","10","888599"
"holdout","m-0910","artifacts/btc/m-0910-high-adaptive-spot-diversity.jsonl","3487C56E78018FB73C28BF3018807958A87694CE8D6533DE095617AEBEAA2D16","300","64","244","280","0","10","10","865170"
